food_id,food_name,category,calories_kcal,carbs_g,protein_g,fat_g,sugar_g,fiber_g,calcium_mg,sodium_mg
1,토스트(식빵),빵 및 과자류,193.452,35.81165,5.7575,3.06299,6.01083,2.303,18.424,322.42
2,트위스터 샌드위치,빵 및 과자류,213.136,12.5598,13.7016,11.26576,2.58808,1.5224000000000002,26.642,471.944
3,파운드케이크,빵 및 과자류,384.2,45.339,5.95,20.043,15.861,1.02,59.5,202.3
4,햄샌드위치,빵 및 과자류,382.95,38.6883,10.970999999999998,20.7,7.514099999999999,3.726,39.33,664.4699999999999
5,간자장,면 및 만두류,1240.0,207.84,43.12,22.48,22.64,14.4,168.0,2760.0
6,간자장_해물,면 및 만두류,1336.35,200.8065,61.065,28.143,21.6825,14.16,238.95,3363.0
7,국수,면 및 만두류,500.64,79.2978,22.35,8.5824,2.5926,2.682,214.56,2449.56
8,국수_열무김치,면 및 만두류,472.0,78.32,17.6,7.92,2.32,4.0,112.0,1584.0
9,냉면_물냉면,면 및 만두류,748.8,142.66199999999998,28.392,5.304,3.276,6.24,78.0,1536.6
10,떡국_굴,면 및 만두류,540.0,100.14,24.0,7.98,1.38,9.6,480.0,1782.0
11,떡국_달걀,면 및 만두류,510.0,107.4,12.6,3.72,0.8999999999999999,1.7999999999999998,48.0,1068.0
12,떡국_소고기_달걀,면 및 만두류,522.0,95.22,19.8,6.959999999999999,1.08,2.4000000000000004,60.0,1302.0
13,떡국_모듬,면 및 만두류,516.0,102.84,16.200000000000003,5.22,1.02,3.0,102.0,1224.0
14,떡만두국_고기만두,면 및 만두류,540.0,90.72,20.4,10.44,1.44,7.199999999999999,102.0,1014.0
15,떡만두국_김치만두,면 및 만두류,522.0,87.36,18.6,11.1,1.98,7.800000000000001,114.0,1392.0
16,라면,면 및 만두류,466.1,71.921,8.850000000000001,14.868,0.059,4.13,236.0,342.20000000000005
17,라면_김치,면 및 만두류,646.0,94.316,15.96,21.508,2.28,7.6,342.0,828.4
18,라면_달걀,면 및 만두류,609.9,84.4872,16.692,21.3144,0.5136000000000001,5.136,295.32,462.24
19,오징어 덮밥_채소,밥류,819.0,130.41,45.9,11.97,15.84,9.9,90.0,1233.0
20,옥수수밥,밥류,508.5,109.755,9.45,1.53,1.125,2.7,9.0,18.0
21,완두콩밥,밥류,285.0,61.175,5.5,0.8250000000000001,0.35,1.75,7.5,2.5
22,유부 초밥,밥류,597.0,81.12,17.4,20.76,6.6000000000000005,2.7,267.0,402.0
23,육회비빔밥,밥류,805.0,123.62,27.3,20.16,4.97,6.3,189.0,539.0
24,장어 덮밥,밥류,475.0,75.19999999999999,17.5,9.95,2.1,2.0,60.0,400.0
25,장어 초밥,밥류,475.0,75.19999999999999,17.5,9.95,2.1,2.0,60.0,400.0
26,팥밥,밥류,350.0,73.825,8.0,1.025,0.475,3.25,12.5,2.5
27,해물 덮밥,밥류,446.16,80.938,21.736,2.2308,3.9468,3.432,40.04,388.96
28,혼합잡곡밥,밥류,295.0,64.075,5.75,0.55,0.175,1.75,7.5,5.0
29,계란빵,빵 및 과자류,237.0,40.8,9.0,2.985,2.0250000000000004,1.35,96.0,289.5
30,츄러스,빵 및 과자류,259.0,43.036,5.88,6.005999999999999,4.214,1.4,91.0,424.2
31,피자,빵 및 과자류,321.3,44.247,16.38,10.017,6.510000000000001,3.3600000000000003,94.5,375.9
32,햄버거_돼지고기,빵 및 과자류,428.4,40.635000000000005,19.11,20.349,5.985,3.3600000000000003,35.7,856.8000000000001
33,햄버거_치킨,빵 및 과자류,450.18,50.9472,27.450000000000003,14.8596,8.6742,13.176,43.92,969.9
34,호떡,빵 및 과자류,152.88,20.9456,2.8080000000000003,6.146400000000001,4.9504,0.936,5.2,2.08
35,감자샐러드 샌드위치,빵 및 과자류,410.4,50.882,11.78,17.974,8.626,4.94,45.6,824.5999999999999
36,소고기 샌드위치,빵 및 과자류,507.5,49.25,17.25,26.525,7.325,3.0,52.5,820.0
37,메기 매운탕,찌개 및 전골류,448.4,56.164,30.4,11.096,5.244,7.6,144.4,2006.4
38,회덮밥_참치,밥류,617.76,100.95799999999998,28.028,10.1816,8.293999999999999,5.72,97.24,480.48
39,흑미밥,밥류,360.0,77.19,6.9,1.11,0.51,2.1,9.0,3.0
40,강낭콩밥,밥류,333.0,72.63,6.6000000000000005,0.4499999999999999,0.03,2.4000000000000004,12.0,6.0
41,검정콩밥,밥류,340.0,69.0,8.25,1.975,0.875,3.0,17.5,2.5
42,굴 국밥,밥류,509.67,103.4711,12.944,2.5888,3.7214,4.045,186.07,1164.96
43,굴밥,밥류,610.0,107.2,21.5,9.75,3.3000000000000003,5.0,415.0,630.0
44,김치 볶음밥_모듬,밥류,416.0,68.8,12.16,8.928,3.232,5.44,48.0,486.4
45,낙지 덮밥,밥류,828.0,138.96,40.5,11.52,15.84,10.8,117.0,1683.0
46,낙지 비빔밥,밥류,792.0,132.48000000000002,38.7,11.79,11.25,9.0,126.0,1584.0
47,닭고기 덮밥,밥류,509.08,93.5792,24.596,2.1736,2.574,3.432,22.88,383.24
48,돼지머리국밥,밥류,582.48,101.5295,16.989,9.3844,3.3169,4.045,32.36,1156.87
49,모듬 김밥,밥류,452.0,69.96,16.8,11.0,2.8,5.2,96.0,736.0
50,모듬 초밥,밥류,463.05,70.1925,24.5,7.693,6.002500000000001,1.715,85.75,965.3
51,무밥,밥류,435.774,90.30616,9.1094,2.60972,1.94498,3.2006,32.006,487.476
52,버섯 덮밥,밥류,577.72,105.6484,14.872,9.3236,3.0888,5.148,28.6,360.36
53,비빔 잡곡밥,밥류,414.0,76.98,10.8,6.36,2.04,6.300000000000001,63.0,279.0
